Title,Author,Quantity,Price,Location,Isbn,EditionYear,Publisher,Edition,Cover,Subject,Pages,Language,Display
Happy Birthday,Valeria Manferto De Fabianis,1,595,RR7,9.78885E+12,2009,White Star Publishers,General,Hard Cover,Photography,142,English,General
River of Love in an Age of Pollution,David L. Haberman,1,495,RR7,9.78052E+12,2006,Univ of California Press,General,Soft Cover,History,277,English,General
The Devil's Dictionary,Ambrose Bierce,1,1995,RR7,,1958,Dover Publications,General,Soft Cover,RARE BOOKS,,English,General
Tarot in Ten Minutes,Richard T. Kaser,1,360,RR7,9.78038E+12,11/1/1992,William Morrow Paperbacks,General,Soft Cover,"Body, Mind & Spirit",368,English,General
The Good Luck Book,Bill Harris,1,460,RR7,,1996,Ottenheimer Publishers,General,Soft Cover,New Age,,English,General
Medicine Woman,Lynn V. Andrews,1,495,RR7,9.78006E+12,10/26/1983,Harper Collins,General,Soft Cover,"Body, Mind & Spirit",224,English,General
The Company of Wolves,Peter Steinhart,1,495,RR7,9.78068E+12,1996,Vintage,General,Soft Cover,Nature,374,English,General
Streams In The Desert,L. B. Cowman,1,495,RR7,9.78031E+12,1997,Zondervan Limited,General,Soft Cover,Religion,,English,General
Stephen Hawking's Universe,John Boslough,1,395,RR7,380707632,6/1/1989,Harper Collins,General,Soft Cover,Biography & Autobiography,160,English,General
Flowers,Robert Mapplethorpe,1,350,RR7,9.78082E+12,1994,Bulfinch Press,General,Soft Cover,Photography,98,English,General
Reloading Health Therapy Of The Millennium,Dr. Nilima Jain,1,495,RR7,9.78938E+12,2016,The Academic Press,General,Soft Cover,Health & Fitness,,English,General
Linda Goodman's Star Signs,Robert A. Brewer,1,395,RR7,312912633,1987,St. Martin's Press,General,Soft Cover,RARE BOOKS,,English,General
Women in Ancient Greece,Sue Blundell,1,950,RR7,9.78067E+12,1995,Harvard University Press,General,Soft Cover,History,224,English,General
The New Popular History Of The World,Wallage E. Caldwell,1,995,RR7,,1966,Greystone Limited,General,Hard Cover,History,,English,General
The Next One Hundred Years Shaping The Fate Of Our Living Earth,Jonathan Weiner,1,695,RR7,978-0553057447,1990,Bantam Books,General,Soft Cover,History,,English,General
A Brief History of Time,Stephen Hawking,1,995,RR7,9.78055E+12,1998-01,Bantam,General,Soft Cover,Science,212,English,General
The Doctor Book Of Homes Remedies,Debora Tkac,1,995,RR7,9622582672,2002,Parsons Walton Press,General,Hard Cover,Health & Fitness,,English,General
Your pregnancy & birth,American College of Obstetricians and Gynecologists,1,995,RR7,9.7807E+12,4/30/2005,American College of Obstetricians and Gynecologists Women's Health Car,General,Soft Cover,Health & Fitness,386,English,General
Caring for Your Baby and Young Child,Steven P. Shelov,1,1295,RR7,553379623,1998,Bantam,General,Soft Cover,Child care.,701,English,General
Dr. Spock's Baby and Child Care,"Benjamin Spock, M.D.,Michael B. Rothenberg, M.D.",1,995,RR7,9.78067E+12,1/1/1997,Prentice Hall,General,Soft Cover,Child care.,832,English,General
Getting Pregnant,Robert Winston,1,695,RR7,9.78033E+12,1993,Pan Macmillan,General,Soft Cover,Health & Fitness,358,English,General
The Next Nine Months,Paula M. Siegel,1,795,RR7,140240233,1988,Penguin Group USA,General,Soft Cover,Family & Relationships,278,English,General
The Medieval World,Friedrich Heer,1,1350,RR7,,1963,A Mentor Books,General,Soft Cover,History,,English,General
Meditations for Mothers of Toddlers,"Beth Wilson Saavedra,Beth Shannon Wilson",1,350,RR7,9.78156E+12,12/1/1993,Workman Publishing,General,Soft Cover,Family & Relationships,310,English,General
Live Better : Tai Chi,Ronnie Robinson,1,595,RR7,9.78184E+12,2006,Duncan Baird Publishers,General,Hard Cover,Health & Wellbeing,,English,General
50 simple things you can do to save the earth,Earth Works Group (U.S.),1,295,RR7,929634063,1989,,General,Soft Cover,Juvenile Nonfiction,96,English,General
The Forsyte Saga,John Galsworthy,1,2700,RR7,,1933,Charles scribner's sons Limited,General,Hard Cover,RARE BOOKS,,English,General
Inside Asia,John Gunther,1,4995,RR7,,1939,Hamish Hamilton,General,Hard Cover,RARE BOOKS,,English,General
Portuguese Discoveries Dependencies And Missions In Asia And Africa,Rev Alex J D D'orsey,1,9500,RR7,,1893,W H Allen & Co Limited,General,Hard Cover,RARE BOOKS,,English,General
Mountaineering From Hill Walking To Alpine Climbing,Alan Blackshaw,1,3500,RR7,,1968,Kaye & Ward,General,Hard Cover,Mountaineering,,English,General
Makers Of Modern Social Science Pareto & Mosca,James H. Meisel,1,450,RR7,417051700,1965,"Prentice-Hall, Inc.",General,Soft Cover,Social Science,,English,General
Investigating The Unexplained,Paul Roland,1,350,RR7,71831007506,2001,Berkley Books,General,Soft Cover,New Age,,English,General
A History of India,"Romila Thapar,Thomas George Percival Spear",1,295,RR7,9.78014E+12,1990,Penguin Books India,General,Soft Cover,History,298,English,General
Worlds Without End Filling In The Map,Isabel Barclay,1,1250,RR7,,1956,"London Ltd., Pvt.,",General,Hard Cover,Mountaineering,,English,General
The Holy Kailash-Manasarovar,Dr. Sudesh Biala,1,395,RR7,,2000,Monal Prakashan,General,Hard Cover,Mountaineering,,English,General
This House Has Fallen Midnight In Nigeria,Karl Maier,1,1350,RR7,9.78189E+12,2000,PublicAffairs,General,Hard Cover,Mountaineering,,English,General
Simple Abundance,Sarah Ban Breathnach,1,1595,RR7,9.78045E+12,11/15/1995,Grand Central Publishing,General,Hard Cover,Self-Help,528,English,General
Christopher Columbus,Gianni Granzotto,1,1575,RR7,385196776,1/1/1985,Olympic Marketing Corporation,General,Hard Cover,History,300,English,General
South Latitude,F. D. Ommanney,1,995,RR7,,1961,"Longmans, Green And Co.",General,Hard Cover,Mountaineering,,English,General
English Journey Being A Rambling But Truthful account Of What One Man Saw and Heard And Felt,J. B. Priestley,1,1995,RR7,,1968,William Heinemann LTD,General,Hard Cover,Mountaineering,,English,General
The Snake,John Crompton,1,350,RR7,941130282,1963,Lyons Press,General,Soft Cover,Science,150,English,General
Tales Of A Traveller,Stanley Rogers,1,2500,RR7,,1824,Blackie And Sons Limited,General,Hard Cover,Mountaineering,,English,General
Gypsies : Wanderers Of The World,Bart McDowell,1,5000,RR7,,1970,National Geographic,General,Hard Cover,Mountaineering,,English,General
Lives in the Wilderness,"Jim Corbett,Verrier Elwin,Salim Ali",1,1195,RR7,9.7802E+12,1/1/1999,,General,Hard Cover,Ethnologists,265,English,General
Inside Europe,John Gunther,1,4500,RR7,,1936,Harper & Brothers Publishers,General,Hard Cover,Mountaineering,,English,General
The Arctic Year,Peter Freuchen,1,3500,RR7,,1958,G. P. Putnam's Sons,General,Hard Cover,Mountaineering,,English,General
Bloddy Years a Decade Of Plot And Counter - Plot,Francis Yeats-Brown,1,2955,RR7,,1932,The Viking Press,General,Hard Cover,Mountaineering,,English,General
Wandering In The Himalayas,Swami Tapovanji Maharaj,1,2995,RR7,,1960,Chinmaya Publication Trust,General,Hard Cover,Mountaineering,,English,General
The Explorers,Tim Flannery,1,995,RR7,9.78188E+12,1/1/1998,Text Publishing,General,Soft Cover,Australia,385,English,General
The Gobi Desert,Mildred Cable,1,4500,RR7,,1950,Hodder And Stoughton,General,Hard Cover,Mountaineering,,English,General
The Speaking Tree,Richard Lannoy,1,2495,RR7,,1974,Oxford University Press,General,Hard Cover,Mountaineering,,English,General
