Title,Author,Quantity,Price,Location,Isbn,EditionYear,Publisher,Edition,Cover,Subject,Pages,Language,Display
BEST IN CHILDREN'S BOOKS,NA,1,450,20A,,,,General,Hard Cover,CHILDREN BOOK,157,English,General
SCIENCE LIBERTY AND PEACE,Aldous Huxley,1,4995,R20,,1947,CHATTO & WINDUS LONDON,Rare,Hard Cover,Fiction,63,English,General
SEVEN JAPANESE TALES,JUNICHIRO TANIZAKI,1,5100,20,,1963,SECKER  & WARBURG,Rare,Hard Cover,Fiction,298,English,General
ROBINSON CRUSOE,DANIEL DEFOE,1,1350,20,,1930,MACMILLAN COMPANY,General,Soft Cover,BIOGRAPHY,298,English,General
The communists and peace with a reply to Claude lefort,Jean Paul sartre,1,3995,R7,6817390,1968,George braziller,Rare,Hard Cover,History,307,English,General
Concise flowers of the Himalayan,Oleg polynomial and Adam stainton,1,9995,7b,195618327,1990,Oxford delhi,General,Soft Cover,History,283,English,General
Lhasa the open city,Han suyin,1,10400,7b,399120351,1977,Putnam's sons,First,Hard Cover,Histoty,180,English,Top 
Living with the Himalayan masters,Swami rama,1,10400,6b,893890340,1978,Himalayan international yoga,General,Soft Cover,Spiritual,491,English,General
Everest the hard way,Chris bonington,1,4995,4a,706905202,1976,Bikes publishing house,Rare,Soft Cover,Mountaineering,238,English,General
The positive Way to Change Your Life,Norman Vincent Peale,1,295,R20,91906458,,,General,Soft Cover,Self-Help,,English,General
Live and Learn and Pass it on,"H. Jackson Brown, JR",1,250,R20,1558531564,,,General,Soft Cover,Self-Help,,English,General
How to Survive the Loss of a Love,"Colgrove, Melba",1,150,R20,553262432,Mass Market Paperback; 1982-06-01,Bantam,General,Soft Cover,Self-Help,,English,General
Official Rules of Card Games,-,1,350,R20,73854001806,,,General,Soft Cover,Self-Help,,English,General
Love Without Fear,Eustace Chesser,1,395,R20,,,,General,Soft Cover,Self-Help,,English,General
Along the Road to Manhood,"Family Christian Stores, Incorporated",1,560,R20,9.78189E+12,1999,Family Christian Press,General,Soft Cover,Religion,176,English,General
The Dirtiest Little Limerick Book Ever,Albin Chaplin,1,495,R20,517433907,1984,Outlet,General,Soft Cover,Bawdy poetry,119,English,General
"Peace, Love and Healing","Siegel, Bernie S.",1,395,R20,9.7801E+12,Paperback; 1991,Arrow,General,Soft Cover,Self-Help,336,English,General
Tales and Parables of Sri Ramakrishna,Sri ramakrishna Math,1,295,R20,8171201377,,,General,Soft Cover,Self-Help,,English,General
Who Will Cry When You Die?,Robin S. Sharma,2,295,R20,9.78818E+12,Paperback; 2006-06-15,Jaico Publishing House,General,Soft Cover,Self-Help,248,English,General
The ROAD LESS TRAVELED INT'L EDITION,M. Scott Peck,1,495,R20,9.78068E+12,9/1/1997,Touchstone,General,Soft Cover,Self-Help,320,English,General
A Noble Radiance,Donna Leon,1,300,SALE,142003190,2003,Penguin Books,General,Soft Cover,Fiction,277,English,General
The Mountain of Light,Claire Allen,1,350,SALE,755307410,2005,,General,Soft Cover,"Cookery, Indic",244,English,General
A Passionate Sisterhood,Kathleen Jones,1,400,SALE,1860494927,1998,Virago Press,General,Soft Cover,Authors' spouses,362,English,General
Top Ten Ways to Die,Franklin W. Dixon,1,150,SALE,1416908463,2/1/2006,Simon and Schuster,General,Soft Cover,Juvenile Fiction,169,English,General
Touching my father's soul,"Jamling Tenzing Norgay,Broughton Coburn",1,300,SALE,9.78009E+12,2/5/2002,Vintage,General,Soft Cover,Sports & Recreation,316,English,General
Shooting from the Hip,Shobha Dé,1,280,SALE,8186112308,1994,South Asia Books,General,Soft Cover,English prose,318,English,General
Rich Dad Advisor's Series®: SalesDogs,Blair Singer,1,250,SALE,446678333,7/1/2002,Business Plus,General,Soft Cover,Business & Economics,272,English,General
Dark Sky,Carla Neggers,1,300,SALE,077832205x,2005,Mira Books,General,Soft Cover,Fiction,375,English,General
Mystical Paths,"Howatch, Susan",1,280,SALE,449221229,Paperback; 1993-04-24,Fawcett,General,Soft Cover,Fiction,502,English,General
Mayday,"Nelson DeMille,Thomas Block",1,300,SALE,446604763,1/1/1998,Grand Central Publishing,General,Soft Cover,Fiction,480,English,General
Murder in Grub Street,Bruce Alexander,1,250,SALE,425155501,1996,Berkley,General,Soft Cover,Fiction,306,English,General
Delivered by Christmas,"Linda Howard,Joan Hohl,Sandra Steffen",1,250,SALE,373483872,1999-11,Harlequin Books,General,Soft Cover,Fiction,377,English,General
An Independent Wife,Linda Howard,1,200,SALE,155166500x,1999,Mira Books,General,Soft Cover,Fiction,248,English,General
Sweet Anger,Sandra Brown,1,200,SALE,446603082,1/1/1999,Vision,General,Soft Cover,Fiction,320,English,General
Primal Fear,William Diehl,1,300,SALE,345388771,1994,,General,Soft Cover,Fiction,393,English,General
It Means Mischief,Kate Thompson,1,300,SALE,1874597731,1/1/1998,,General,Soft Cover,Fiction,489,English,General
Mother's Milk,Edward St Aubyn,1,350,SALE,330451103,Perfect Paperback; 2006,Macmillan Publishers Ltd,General,Soft Cover,Fiction,304,English,General
Tara Road,"Binchy, Maeve",1,400,SALE,440295637,Perfect Paperback,,General,Soft Cover,Fiction,648,English,General
Malice in Cornwall,"Thomas, Graham P.",1,250,SALE,804116563,$5.99 ,"New York : Ivy Books, 1998.",General,Soft Cover,Fiction,230,English,General
"Rich Dad's Retire Young, Retire Rich","Robert T. Kiyosaki,Sharon L. Lechter",1,400,SALE,446617431,2002,,General,Soft Cover,"Finance, Personal",335,English,General
A Return to Love,"Williamson, Marianne",1,300,SALE,61092908,Mass Market Paperback; 1994-04,HarperCollins Publishers,General,Soft Cover,Fiction,336,English,General
Night Watch,Alastair MacNeill,1,200,SALE,6177433,4/14/2015,HarperCollins UK,General,Soft Cover,Fiction,320,English,General
War and Peas,Jill Churchill,1,280,SALE,380787067,11/1/1997,Harper Collins,General,Soft Cover,Fiction,288,English,General
Melody,V.C. Andrews,1,250,SALE,671534718,9/1/1996,Pocket Books,General,Soft Cover,Fiction,384,English,General
Footprints of Thunder,James F. David,1,280,SALE,812524020,7/15/1997,Tor Books,General,Soft Cover,Fiction,512,English,General
Dark maze,Thomas Larry Adcock,1,200,SALE,141650172x,2004,,General,Soft Cover,"Hockaday, Neil (Fictitious character)",310,English,General
A Rose Without Thorns,Lucy Kidd,1,250,SALE,553289179,12/1/1991,Fanfare,General,Soft Cover,Fiction,451,English,General
Off the Mangrove Coast,Louis L'Amour,1,200,SALE,553583190,2001,Bantam,General,Soft Cover,Fiction,278,English,General
Dark Angel,V.C. Andrews,1,250,SALE,067172939x,11/1/1990,Pocket Books,General,Soft Cover,Fiction,488,English,General
Princess in the Spotlight,Meg Cabot,1,250,SALE,64472795,2002,Harper Collins,General,Soft Cover,Juvenile Fiction,223,English,General
The Last Family,John Ramsey Miller,1,300,SALE,553574965,1997,Bantam,General,Soft Cover,Fiction,480,English,General
Hollywood Wives,"Collins, Jackie",1,250,SALE,9.78033E+12,Paperback; 2001-10-12,Pan MacMillan,General,Soft Cover,Fiction,,English,General
The Christmas Train,David Baldacci,1,350,SALE,446615757,11/1/2004,Grand Central Publishing,General,Soft Cover,Fiction,304,English,General
Chopping Spree,Diane Mott Davidson,1,250,SALE,553578359,2003,Bantam,General,Soft Cover,Fiction,351,English,General
Blue Skies,Catherine Anderson,1,300,SALE,451210751,12/1/2003,Penguin,General,Soft Cover,Fiction,419,English,General
A Gathering of Spies,"Altman, John",1,300,SALE,515131105,Paperback; 2001-08-01,Jove,General,Soft Cover,Fiction,336,English,General
Bloodhound,"Bonansinga, Jay R.",1,300,SALE,451408969,Paperback; 1999-09-01,Onyx,General,Soft Cover,Fiction,336,English,General
From this Moment on,Lynn Kurland,1,350,SALE,425186857,2002,Penguin,General,Soft Cover,Fiction,418,English,General
The Stone Forest,Karen S. Harper,1,280,SALE,1551669099,2002,Mira Books,General,Soft Cover,Fiction,392,English,General
Brainfire,Campbell Armstrong,1,280,SALE,61000868,8/30/1990,HarperPrism,General,Soft Cover,Fiction,432,English,General
Night Sins,Tami Hoag,1,290,SALE,055356451x,1995,Bantam,General,Soft Cover,Fiction,540,English,General
Oldest Confession,"Condon, Richard G.",1,100,SALE,99530805,Paperback; 1988-12-08,Arrow Books Ltd,General,Soft Cover,Fiction,352,English,General
Into the Garden,V.C. Andrews,1,250,SALE,671007718,12/1/1999,Pocket Books,General,Soft Cover,Fiction,384,English,General
Here on Earth,Alice Hoffman,1,300,SALE,425169693,7/1/1999,Penguin Group,General,Soft Cover,Fiction,309,English,General
The Prince Next Door,"Civil-Brown, Sue",1,280,SALE,373770766,Paperback; 2005-04-01,HQN Books,General,Soft Cover,Fiction,384,English,General
Soft Focus,Jayne Ann Krentz,1,300,SALE,515129224,2000,Berkley,General,Soft Cover,Fiction,359,English,General
Broken Wings,"John E. Douglas,Mark Olshaker",1,250,SALE,067100395x,2001,Simon and Schuster,General,Soft Cover,Fiction,366,English,General
Tara Road,Maeve Binchy,1,300,SALE,440235596,2000-01,Dell Publishing Company,General,Soft Cover,Fiction,648,English,General
A Woman Betrayed,Barbara Delinsky,1,350,SALE,61040347,5/1/1991,Harper Collins,General,Soft Cover,Fiction,576,English,General
Remembrance,Jude Deveraux,1,200,SALE,671744607,1994,Pocket,General,Soft Cover,Fiction,432,English,General
The Countess,Catherine Coulter,1,300,SALE,451198506,1999,Penguin,General,Soft Cover,Fiction,405,English,General
The Midnight Hour,Karen Robards,1,300,SALE,440225043,1999,Dell Publishing Company,General,Soft Cover,Fiction,464,English,General
Before and After,Rosellen Brown,1,200,SALE,440216540,1993,Dell,General,Soft Cover,Fiction,420,English,General
The Uncanny,Andrew Klavan,1,300,SALE,440225779,1998,Island Books,General,Soft Cover,Fiction,416,English,General
A Delicate Finish,Jeanette Baker,1,300,SALE,778321827,2005,Mira Books,General,Soft Cover,Fiction,376,English,General
Keep it Simple,"Terry Bradshaw,David Fisher",1,250,SALE,743417313,8/26/2003,Simon and Schuster,General,Soft Cover,Biography & Autobiography,320,English,General
The Strong-willed Child,Dr. James Dobson,1,250,SALE,842359249,9/1/1992,Tyndale House Pub,General,Soft Cover,House & Home,335,English,General
Enemy Within,"Tanenbaum, Robert",1,200,SALE,743403436,Paperback; 2002-08-01,Pocket Star,General,Soft Cover,Fiction,544,English,General
"Live at 10:00, Dead at 10:15: A Sonya Iverson Novel","Klensch, Elsa",1,250,SALE,076534680x,Mass Market Paperback; 2005-08-30,Forge Books,General,Soft Cover,Fiction,304,English,General
The Seducer,Madeline Hunter,1,250,SALE,553585894,2003,Bantam,General,Soft Cover,Fiction,419,English,General
The Last to Know,Wendy Corsi Staub,1,300,SALE,786011963,2001,Pinnacle Books,General,Soft Cover,Fiction,462,English,General
My Sweet Audrina,V.C. Andrews,1,300,SALE,671729462,9/15/1990,Simon and Schuster,General,Soft Cover,Fiction,416,English,General
Wifey,Judy Blume,2,280,SALE,671693816,1978,Pocket,General,Soft Cover,Fiction,276,English,General
The Real Deal,Fern Michaels,1,300,SALE,743477448,8/1/2004,Pocket Books,General,Soft Cover,Fiction,448,English,General
The Magic of You,Johanna Lindsey,1,300,SALE,380756293,6/1/1993,Avon,General,Soft Cover,Fiction,432,English,General
Mirror Maze,William Bayer,1,300,SALE,515115231,7/1/1995,Jove Publications,General,Soft Cover,Fiction,385,English,General
Home Song,LaVyrle Spencer,1,300,SALE,515118230,1996,Jove Publications,General,Soft Cover,Fiction,382,English,General
Firebird,Harriet Castor,1,350,SALE,330348159,1998,Pan,General,Soft Cover,Ambition,516,English,General
Lord and Master,"Tranter, Nigel G.",1,200,SALE,340178361,Paperback; 1990-07-19,Hodder & Stoughton Ltd,General,Soft Cover,Fiction,416,English,General
"Baby, Don't Go",Susan Andersen,1,300,SALE,380807122,5/2/2000,Avon,General,Soft Cover,Fiction,384,English,General
Cause of Fear,Robert Ross,1,300,SALE,786015845,2004,,General,Soft Cover,Fiction,299,English,General
Into the Night,Suzanne Brockmann,1,300,SALE,804119724,2002,Random House LLC,General,Soft Cover,Fiction,467,English,General
You'll See It When You Believe It,"Dyer, Wayne W.",1,200,SALE,009974130x,Paperback; 1990,Avon Books,General,Soft Cover,New Age,287,English,General
Savage Shadows,Cassie Edwards,1,200,SALE,843940514,1996,,General,Soft Cover,Comanche Indians,395,English,General
The Children's Book,Antonia Susan Byatt,1,395,R!,9.78031E+12,2009,Vintage Books,General,Soft Cover,Fiction,883,English,General
Summer Island,Kristin Hannah,1,290,R!,345441133,2002,"Random House Digital, Inc.",General,Soft Cover,Fiction,392,English,General
Tibetan Frontier Families,Barbara Nimri Aziz,1,4995,R7,070690544x,1978,New Delhi : Vikas Publishing House,Rare,Hard Cover,Ethnology,292,English,General
Three Cups of Tea,"Greg Mortenson,David Oliver Relin",1,350,1A,9.78014E+12,1990,,General,Soft Cover,Juvenile Nonfiction,209,English,General
The Sleepwalker A history of man's changing vision of the universe,Arthur Koestler,1,8500,R7,,1959,Hutchinson of London,First,Hard Cover,Philosophy,,English,General
The Dialogues of Plato volume 2,B. Jowett,1,5000,R7,,1937,Random House,Rare,Hard Cover,Philosophy,,English,General
The Mansions of Philosophy A survey of Human life and Destiny,Will Durant,1,20000,R7,,1929,Garden City Publishing co.,General,Soft Cover,Biography & Autobiography,,English,General
Plutarch Twelve Lives,Carl Van Doren,1,3250,R7,,1950,Fine Editions Press,Rare,Hard Cover,Biography & Autobiography,,English,General
Napoleon's Russian Campaign,Count Philippe-paul de Segur,1,2496,R7,,1980,Time reading program Special Edition,Rare,Hard Cover,Biography & Autobiography,,English,General
Memoirs of the life of the right hon. Warren Hastings first governor-general of bengal vol 1,Rev. g. r. Gleig,1,7000,R7,,1841,Richard Bentley,Rare,Hard Cover,Biography & Autobiography,,English,General
"Life of field marshal, his grace the Duke of Wellington, embracing his civil, military, and political Career to the present time vol.1",sir james edw. Alexander,1,8495,R7,,1839,"Henry ColBurn, Publisher",Rare,Hard Cover,Biography & Autobiography,,English,General
Napolean,Emil Ludwig,1,4000,R7,,1950,George Allen and Unwin ltd,Rare,Hard Cover,Biography & Autobiography,,English,General
"Einstein, the Life and Times",Roland W. Clark,1,3995,R7,340109602,1973,,First,Hard Cover,Biography & Autobiography,670,English,Top 
Diana,Andrew Morton,1,2000,R7,068485080x,1997,,First,Hard Cover,Biography & Autobiography,288,English,General
The Autobiography of Mark Twain,Charles Neider,1,2995,R7,,1959,Harper & Row,Rare,Hard Cover,Biography & Autobiography,388,English,General
LIfe of Sri Ramakrishna,Advaita Ashrama,1,1500,R7,,,Advaita Ashrama,Rare,Soft Cover,Biography & Autobiography,,English,General
"The life of oliver Goldsmith, M. B. from a variety of original sources",James Prior,1,7250,R7,,1837,E. L. Carey & A. Hart,Rare,Hard Cover,Biography & Autobiography,,English,General
Acquaintances,Arnold j. Toynbee,1,3000,R7,,1967,Oxford University press,Rare,Soft Cover,Biography & Autobiography,312,English,General
Recollections vol.1,"John, visvount morley",1,9995,R7,,1917,Macmillan Company,Rare,Soft Cover,Biography & Autobiography,,English,General
This Man From Lebanon A study of Kahlil Gibran,Barbara Young,1,1500,R7,,1946,Alfred a. Knopf,Rare,Hard Cover,Biography & Autobiography,,English,General
Victoria her life and reign An illustrated Biography of the queen from the year 1819 to the present time,Alfred E. Knight,1,7995,R7,,1897,S. W. PartRidge & Co.,First,Hard Cover,Biography & Autobiography,,English,General
"Biographical Sketch of george Meikle Kemp Architect of the scott monument, Edinburgh",Thomas Bonnar,1,4200,R7,,1892,William Backwood and sons,First,Hard Cover,Biography & Autobiography,,English,General
Machiavelli,Etorre Janni,1,9995,R7,,1930,George G. Harrap & Co.,First,Soft Cover,Biography & Autobiography,,English,General
Ernest hemingway a life story,Carlos Baker,1,4995,R7,,1969,Charles Scribner's Sons,Rare,Soft Cover,Biography & Autobiography,697,English,General
Wildtrack,Bernard Cornwell,1,195,R19,515101214,8/1/1989,Jove Books,General,Soft Cover,Fiction,358,English,General
Temporary insanity,"Carroll, Leslie Sara",1,395,R19,9.78006E+12,,"New York : Avon Books, c2004.",General,Soft Cover,Fiction,322,English,General
Indian Country: A Novel,"Caputo, Philip",1,395,R19,60986034,Paperback; 1991-10,Perennial,General,Soft Cover,Fiction,432,English,General
Love Among the Ruins,Robert Clark,1,350,R19,1400030307,2002-08,Vintage,General,Soft Cover,Fiction,333,English,General
Wonder Boys,Michael Chabon,1,395,R19,9.78081E+12,2008,Random House Incorporated,General,Soft Cover,Fiction,368,English,General
A New Lu,Laura Castoro,1,350,R19,373895143,2005,"Don Mills, Ont. : Red Dress Ink",General,Soft Cover,Fiction,391,English,General
Whitethorn,Bryce Courtenay,1,595,R19,9.78014E+12,1/8/2007,Penguin UK,General,Soft Cover,Fiction,682,English,General
The Potato Factory,Bryce Courtenay,1,395,R19,749322632,1996,Random House (UK),General,Soft Cover,Australia,739,English,General
Pop Princess,Rachel Cohn,1,395,R19,1416902635,8/23/2005,,General,Soft Cover,Juvenile Fiction,320,English,General
The Prince of Tides,Pat Conroy,1,280,R19,553268880,1987,Bantam,General,Soft Cover,Fiction,664,English,General
Propero's cell,Lawerance durell,1,495,R19,,,,General,Soft Cover,Fiction,,English,General
The Great Santini,"Conroy, Pat",1,395,R19,553174894,Paperback; 1988-08-05,Bantam Books Ltd,General,Soft Cover,Fiction,448,English,General
Burning The Map,Laura Caldwell,1,360,R19,373250215,11/1/2002,Red Dress Ink,General,Soft Cover,Fiction,288,English,General
Girl with a pearl earring,"Chevalier, Tracy",1,395,R19,9.78045E+12,(pbk.) :$12.00,"New York : Plume, 2001, c1999.",General,Soft Cover,Fiction,233,English,General
Elizabeth and After,Matt Cohen,1,350,R19,676972578,2000,Vintage Books Canada,General,Soft Cover,Domestic fiction,370,English,General
American Woman,Susan Choi,1,395,R19,60542225,9/7/2004,Harper Collins,General,Soft Cover,Fiction,384,English,General
What Looks Like Crazy On an Ordinary Day,Pearl Cleage,1,395,R19,038079487x,11/1/1998,HarperPB,General,Soft Cover,Fiction,244,English,General
The Srinagar Conspiracy,Vikram A. Chandra,1,495,R19,141001550,2000,Penguin Books India,General,Soft Cover,Jammu and Kashmir (India),292,English,General
One Night @ the Call Center,Chetan Bhagat,1,152,R19,9.78813E+12,1/1/2005,books catalog,General,Soft Cover,Indic fiction (English),291,English,General
Family and Friends,Anita Brookner,1,395,R19,140147462,1993,Penguin Books,General,Soft Cover,English literature,187,English,General
"""Wicked"" Women Whodunit","MaryJanice Davidson,Amy Garvey,Jennifer Apodaca,Nancy J. Cohen",1,350,R19,758210264,2005,Editorial Norma,General,Soft Cover,Fiction,329,English,General
Her Own Rules,Barbara Taylor Bradford,1,395,R19,61095869,4/1/1997,Avon,General,Soft Cover,Fiction,352,English,General
Open House,Elizabeth Berg,1,395,R19,345435168,2001,Ballantine Books,General,Soft Cover,Fiction,241,English,General
Five Point Someone,Chetan Bhagat,1,195,R19,9.78813E+12,2004,Rupa and Company,General,Soft Cover,Fiction,270,English,General
Angels Turn Their Backs,Margaret Buffie,1,350,R19,9.78155E+12,1998,,General,Soft Cover,Agoraphobia Juvenile fiction,239,English,General
Go Tell it on the Mountain,James Baldwin,1,795,R19,9.78014E+12,10/4/2001,Penguin UK,General,Soft Cover,Fiction,256,English,General
Life class,"Barker, Pat",1,395,R19,9.78014E+12,,"Great Britain : Penguin Books, Limited, 2008.",General,Soft Cover,Fiction,256,English,General
Cappuccino Dusk,Kankana Basu,1,395,R19,9.78817E+12,2009,,General,Soft Cover,Bombay (India),296,English,General
People of the Book,Geraldine Brooks,1,495,R19,9.78073E+12,2009,HarperPerennial,General,Soft Cover,Australian fiction,465,English,General
Captain Corelli's Mandolin,Louis De Bernières,1,495,R19,749397543,1994,Vintage,General,Soft Cover,Cephalonia (Greece : Municipality),434,English,General
A String in the Harp,Nancy Bond,1,250,R19,689804458,1976,Aladdin,General,Soft Cover,Juvenile Fiction,370,English,General
Girls,Frederick Busch,1,350,R19,449912639,1998,Ballantine Books,General,Soft Cover,Fiction,279,English,General
Family and Friends,Anita Brookner,1,395,R19,586069321,1985,,General,Soft Cover,Fiction,187,English,General
Midwives,Chris Bohjalian,1,395,R19,375706771,1998,Vintage,General,Soft Cover,Fiction,374,English,General
Half a Heart,Rosellen Brown,1,395,R19,312278306,5/18/2001,Macmillan,General,Soft Cover,Fiction,416,English,General
The Man who was Late,Louis Begley,1,485,R19,449909115,1994,Ballantine Books,General,Soft Cover,Fiction,243,English,General
The War of Don Emmanuel's Nether Parts,Louis De Bernières,1,495,R19,375700137,1997-01,Vintage,General,Soft Cover,Fiction,363,English,General
Greenwitch,Susan Cooper,1,395,R19,689704313,1974,Simon & Schuster Books For Young Readers,General,Soft Cover,Adventure stories,147,English,General
walter,david cook,1,395,R19,9.7801E+12,,,General,Soft Cover,Fiction,,English,General
Battle Hymn of the Tiger Mother,Amy Chua,1,595,R19,9.78141E+12,12/6/2011,Bloomsbury Publishing,General,Soft Cover,Biography & Autobiography,272,English,General
Boy Proof,Cecil Castellucci,1,350,R19,184428154x,2005,Walker,General,Soft Cover,Friendship,206,English,General
Picturing Will,"Beattie, Ann",1,350,R19,9.78068E+12,,"New York : Vintage Books, 1990.",General,Soft Cover,Fiction,230,English,General
Mr. Timothy,Louis Bayard,1,395,R19,60534222,10/26/2004,William Morrow Paperbacks,General,Soft Cover,Fiction,416,English,General
The Dragon Queen,Alice Borchardt,1,495,R19,553815121,2/6/2003,Random House,General,Soft Cover,Arthurian romances,576,English,General
The Sisterhood of the Traveling Pants,Ann Brashares,1,395,R19,1741660769,2005,Random House Australia,General,Soft Cover,Female friendship,294,English,General
Glitz,Louise Bagshawe,1,395,R19,9.78076E+12,2008-05,Headline Review,General,Soft Cover,Sisters,544,English,General
The Look,"Blanchard, Nina",1,275,R19,451180348,Paperback; 1996-10-01,Signet,General,Soft Cover,Fiction,416,English,General
The Look,"Blanchard, Nina",1,275,R19,451180348,Paperback; 1996-10-01,Signet,General,Soft Cover,Fiction,416,English,General
The Mandarins,Simone De Beauvoir,1,595,R19,6135404,1960,,General,Soft Cover,Existentialism,763,English,General
The second sex,Simone De Beauvoir,1,995,R19,,,,General,Soft Cover,Fiction,,English,General
She came to stay,Simone De Beauvoir,1,595,R19,6138918,,Fontana modern Novels,General,Soft Cover,Fiction,,English,General
Visitors : A Novel,"Brookner, Anita",1,395,R19,679781471,Paperback; 1998-12-29,Vintage,General,Soft Cover,Fiction,256,English,General
Black Gold,Anita Richmond Bunkley,1,395,R19,451179730,1/18/1995,Signet Book,General,Soft Cover,Fiction,448,English,General
The Women in His Life,Barbara Taylor Bradford,1,295,R19,345345738,1991,"Random House Digital, Inc.",General,Soft Cover,Fiction,498,English,General
Talking to Addison,Jenny Colgan,1,295,R19,446526614,2002-01,Grand Central Pub,General,Soft Cover,Fiction,309,English,General
The Nudists,Guy Bellamy,1,295,R19,140097724,1987,Penguin Books,General,Soft Cover,Fiction,304,English,General
Daddy's Angel,Annette Broadrick,1,270,R19,373810776,2004,Harlequin Books,General,Soft Cover,Fiction,250,English,General
Day Of Wrath,No Illustrations,1,395,R19,9.78075E+12,Paperback; 1998,Warner Books,General,Soft Cover,Fiction,356,English,General
The Second Wife,Elizabeth BUCHAN,1,395,R19,718149874,1/1/2006,,General,Soft Cover,Middle-aged mothers,357,English,General
Lipstick Jungle,Candace Bushnell,1,395,R19,786887079,8/8/2006,Hyperion,General,Soft Cover,Fiction,496,English,General
Trading Up: A Novel,"Bushnell, Candace",1,395,R19,786887060,Paperback; 2004-06-02,Hyperion,General,Soft Cover,Fiction,512,English,General
Sex and the City,"Bushnell, Candace",1,595,R19,9.78045E+12,Mass Market Paperback; 2006-08-01,Warner Books,General,Soft Cover,Fiction,304,English,General
The Master And Margarita,Mikhail Bulgakov,1,795,R19,9.78014E+12,9/6/2007,Penguin UK,General,Soft Cover,Fiction,432,English,Top 
American Hero,Larry Beinhart,1,250,R19,99337010,1993,Vintage,General,Soft Cover,Fiction,397,English,General
"To Sir, with love","Braithwaite, E. R.",1,395,R19,515105198,,"New York : Jove, 1977, c1959",General,Soft Cover,Fiction,189,English,General
Christine Falls,Benjamin Black,1,395,R19,9.78033E+12,2007,,General,Soft Cover,Catholics,389,English,General
Arthur and George,Julian Barnes,1,495,R19,1400097037,2007-01,Vintage Books,General,Soft Cover,Fiction,445,English,General
The Sense of an Ending,Julian Barnes,1,595,R19,9.78031E+12,2012,Vintage,General,Soft Cover,Fiction,163,English,General
Blood Royal,Vanora Bennett,1,495,R19,9.78001E+12,2010,HarperCollins Australia,General,Soft Cover,Great Britain,580,English,General
Revenge of the Middle-Aged Woman,Elizabeth BUCHAN,1,395,R19,142003727,12/30/2003,Penguin,General,Soft Cover,Fiction,341,English,General
The Copper Beech,Maeve Binchy,1,240,R19,440213290,1993,Dell Publishing Company,General,Soft Cover,Fiction,391,English,General
Circle of Friends,Maeve Binchy,1,350,R19,440211263,1991,Dell Publishing Company,General,Soft Cover,Fiction,596,English,General
Evening Class,Maeve Binchy,1,295,R19,752809636,1997,Orion Paperbacks,General,Soft Cover,Evening and continuation school students,519,English,General
London transports,"Binchy, Maeve",1,295,R19,440212359,,"New York : Dell, 1995, c1982.",General,Soft Cover,Fiction,376,English,General
Quentins,Maeve Binchy,1,260,R19,451209907,2003,Penguin,General,Soft Cover,Fiction,488,English,General
Minding Frankie,Maeve Binchy,1,295,R19,9.78141E+12,3/3/2011,Orion,General,Soft Cover,Child rearing,432,English,General
Tara Road,Maeve Binchy,1,275,R19,1552780805,1999,,General,Soft Cover,Domestic fiction,639,English,General
Whitethorn Woods,Maeve Binchy,1,350,R19,9.78075E+12,2007,Gollancz,General,Soft Cover,City and town life,449,English,General
Shining hero,"Banerji, Sara",1,395,R19,7137427,(pbk.),"London : Flamingo, 2002.",General,Soft Cover,Fiction,362,English,General
A Friend of the Earth,T. Coraghessan Boyle,1,560,R19,670891770,2000,Viking Press,General,Soft Cover,Fiction,271,English,General
Armadillo,William Boyd,1,450,R19,241139309,1/1/1998,,General,Soft Cover,Business,309,English,General
Ordinary Thunderstorms,William Boyd,1,495,R19,9.78141E+12,6/7/2010,Bloomsbury Publishing UK,General,Soft Cover,Fiction,416,English,General
Restless,"Boyd, William",1,395,R19,9.78075E+12,,"London : Bloomsbury , 2006.",General,Soft Cover,Fiction,325,English,General
Stonemouth,Iain Banks,1,595,R19,9.78035E+12,1/1/2013,Abacus Software,General,Soft Cover,Fiction,434,English,General
Espedair Street,Iain Banks,1,495,R19,349102147,1999,Little Brown,General,Soft Cover,Glasgow (Scotland),249,English,General
A Song of Stone,Iain Banks,1,495,R19,349110115,1998,Abacus Software,General,Soft Cover,Castles,280,English,General
Canal Dreams,Iain Banks,1,395,R19,034910171x,1990,Little Brown,General,Soft Cover,Cellists,198,English,General
The Business,Iain Banks,1,495,R19,743200152,11/13/2001,Simon and Schuster,General,Soft Cover,Fiction,400,English,General
The Bridge,Iain Banks,1,595,R19,349102155,1986,Little Brown,General,Soft Cover,Accidents,288,English,General
The Industry of Souls,Martin Booth,1,495,R19,312267533,10/6/2000,Macmillan,General,Soft Cover,Fiction,256,English,General
The Sea,John Banville,1,395,R19,330442732,2005,,General,Soft Cover,Authors,263,English,General
The Bridge Across Forever,Richard Bach,1,395,R19,440108268,1984,Dell Publishing Company,General,Soft Cover,Biography & Autobiography,396,English,General
A Gift of Wings,Richard Bach,1,250,R19,440345715,1974,Laurel,General,Soft Cover,Biography & Autobiography,299,English,General
Jonathan Livingston Seagull,Richard Bach,1,395,R19,817223578x,2011,,General,Soft Cover,Fables,87,English,General
One,Richard Bach,1,395,R19,330311735,1989,Pan,General,Soft Cover,English fiction,284,English,General
Never Change,Elizabeth Berg,1,350,R19,743411331,5/2/2002,Washington Square Press,General,Soft Cover,Fiction,240,English,General
